Feature,MeanAbsWeight,StdAbsWeight,SeenInSplits
high_mean_100,0.7339310293065203,0.1973784718884312,5
high_mean_500,0.5900273678970368,0.1231881642974744,10
high_mean_300,0.5680756910228343,0.1806107995401208,10
mid_mean_50,0.5457192084777319,0.14445242616772522,10
mid_mean_150,0.4409165576777084,0.1858668411909046,5
mid_mean_400,0.3992919221956725,0.30798229692024476,10
high_mean_50,0.3796414809487573,0.11048235886179335,5
mid_mean_750,0.34384414340228436,0.1636445144134496,5
low_mean_100,0.3305981601904929,0.12701292727858518,5
mid_mean_500,0.30670045010568725,0.2324964512044278,10
mid_mean_300,0.28793991345514164,0.1702105920285953,5
mid_mean_100,0.27210337997528095,0.19575962978723324,10
low_mean_150,0.2542562459904237,0.1602331316567844,5
low_mean_50,0.2540926149657724,0.07915251301621469,5
high_mean_750,0.2364239523040943,0.18823783219743057,10
raw_loss,0.2288558306093703,0.11234564449956033,5
high_mean_200,0.2262921030120605,0.1539225605652623,5
mid_std_300,0.22180466334517432,0.07345907948788906,5
low_mean_200,0.2067026278443213,0.13271047358750773,5
high_mean_150,0.1781841954034165,0.1067361796927842,10
high_mean_400,0.1560501879407586,0.07581694297564645,10
mid_std_400,0.1546724845749716,0.08021291655631975,5
mid_mean_200,0.14855545665163766,0.13067327884395571,5
high_std_400,0.14477422241053334,0.0911527218665985,5
mid_std_750,0.1367161626704288,0.01951342839732699,5
high_std_200,0.1210258718699051,0.02960240103515522,5
high_std_300,0.1165789209077968,0.0790503028760508,5
low_mean_500,0.11132456259632444,0.10924198519475176,5
high_std_50,0.11051101669577731,0.05480473115179288,5
mid_std_100,0.10951663988997432,0.06337980850642182,5
low_mean_300,0.10830569006813065,0.0825679885295813,10
mid_std_500,0.09987578478666971,0.07096251090681427,5
high_std_500,0.09767456660154884,0.08401918208954803,5
high_std_100,0.0951761245296506,0.05226468552706477,5
low_mean_750,0.09346951183244513,0.0721540302899371,5
low_std_300,0.07827784831798132,0.06478142674324973,5
mid_std_50,0.07639623297812798,0.05207004333180918,5
low_std_100,0.0691149521034299,0.04492523491861324,5
mid_std_200,0.06253899327395412,0.04570777874597464,5
low_std_750,0.061466721505671465,0.03134034669024546,5
low_std_500,0.05514535915241028,0.03849829724589651,5
low_std_50,0.05329570996071666,0.025367012263773803,5
high_std_150,0.05109088360081008,0.03446065607024068,5
low_std_150,0.04226574052116346,0.026236199004084814,5
low_std_200,0.04090297814831302,0.0238199725960721,5
mid_std_150,0.039930775703392526,0.04743302570397773,5
high_std_750,0.038721604589018875,0.028141893329352657,5
low_mean_400,0.03807762563222809,0.010921377341946335,5
low_std_400,0.023100517913578547,0.016948527172160038,5
