Method,N_Features,Accuracy,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Std,AUC,AUC_Std,TPR_1FPR,TPR_1FPR_Std,TPR_5FPR,TPR_5FPR_Std
timestep_50_raw_tsva,8,0.5093333333333334,0.010381607668264963,0.5093333333333333,0.010381607668264967,0.49894222222222223,0.01586107589021194,0.016,0.0076011695006609195,0.042666666666666665,0.023380903889000243
timestep_50_tsva_only,6,0.5053333333333333,0.0076739096221475536,0.5053333333333334,0.007673909622147567,0.49985777777777785,0.011292274208064713,0.010666666666666666,0.00894427190999916,0.04266666666666667,0.03003701420285016
timestep_100_raw_tsva,8,0.492,0.010697871023920825,0.492,0.010697871023920832,0.49191111111111113,0.012634696496376765,0.012,0.0196638416050035,0.04533333333333334,0.020763215336529913
timestep_100_tsva_only,6,0.5093333333333333,0.013207741837439295,0.5093333333333334,0.01320774183743927,0.49452444444444443,0.01676991427203364,0.005333333333333334,0.008692269873603532,0.03866666666666667,0.023285665595430643
timestep_150_raw_tsva,8,0.49466666666666664,0.018196458751941577,0.4946666666666667,0.018196458751941567,0.4782222222222222,0.016509331442894876,0.005333333333333334,0.008692269873603532,0.04,0.021602468994692866
timestep_150_tsva_only,6,0.48533333333333334,0.024335616331258636,0.48533333333333334,0.02433561633125863,0.4841333333333333,0.01589294431539812,0.002666666666666667,0.0036514837167011074,0.037333333333333336,0.019776529298921767
timestep_200_raw_tsva,8,0.4726666666666667,0.017224014243685082,0.4726666666666667,0.01722401424368509,0.4649866666666666,0.010093997727533777,0.010666666666666668,0.012110601416389968,0.039999999999999994,0.021081851067789197
timestep_200_tsva_only,6,0.4706666666666667,0.016566364853052244,0.4706666666666667,0.016566364853052244,0.46277333333333337,0.016567962539674203,0.004,0.00894427190999916,0.03733333333333333,0.022410315085295483
timestep_300_raw_tsva,8,0.49866666666666665,0.02280350850198275,0.49866666666666665,0.022803508501982758,0.4928533333333333,0.018524628917827447,0.002666666666666667,0.0036514837167011074,0.039999999999999994,0.014907119849998597
timestep_300_tsva_only,6,0.4973333333333333,0.02722335598546055,0.4973333333333333,0.02722335598546055,0.4837599999999999,0.015622225383277696,0.010666666666666668,0.010110500592068734,0.036,0.012110601416389968
timestep_400_raw_tsva,8,0.496,0.028809720581775843,0.496,0.02880972058177586,0.48999999999999994,0.018200067833274724,0.008,0.00869226987360353,0.048,0.0251219249085557
timestep_400_tsva_only,6,0.4993333333333333,0.012780193008453898,0.4993333333333333,0.01278019300845383,0.49818666666666667,0.013483136243580812,0.012,0.014452988925785866,0.049333333333333326,0.023380903889000243
timestep_500_raw_tsva,8,0.4886666666666667,0.023640830968662856,0.4886666666666667,0.023640830968662874,0.48152888888888884,0.02105012477602971,0.005333333333333334,0.00557773351022717,0.048,0.040933550488023336
timestep_500_tsva_only,6,0.506,0.01689838914084875,0.506,0.016898389140848777,0.49579555555555554,0.025057989041717077,0.010666666666666668,0.010110500592068734,0.039999999999999994,0.02666666666666667
timestep_750_raw_tsva,8,0.4879999999999999,0.023640830968662856,0.4879999999999999,0.023640830968662832,0.4852444444444444,0.014577100255258284,0.010666666666666668,0.013824294235551813,0.05199999999999999,0.03211091887677946
timestep_750_tsva_only,6,0.4933333333333333,0.02990726407487726,0.49333333333333335,0.02990726407487728,0.48851555555555565,0.03261703864357622,0.012,0.010954451150103323,0.06133333333333334,0.029589788028229525
early_raw_tsva,32,0.5073333333333333,0.010903618155864082,0.5073333333333333,0.01090361815586411,0.5086755555555555,0.025219616115972832,0.018666666666666668,0.012823589374447563,0.06133333333333334,0.023758039574940614
mid_raw_tsva,16,0.5,0.021730674684008827,0.5,0.021730674684008827,0.5006133333333334,0.022869018343601895,0.008,0.00557773351022717,0.05733333333333333,0.03040467800264368
late_raw_tsva,24,0.488,0.02180723631172814,0.488,0.02180723631172814,0.4771644444444445,0.01786297363712137,0.021333333333333336,0.012823589374447563,0.04933333333333333,0.029664793948382655
all_raw_tsva,65,0.5053333333333333,0.02076321533652991,0.5053333333333333,0.02076321533652989,0.50984,0.02725188587879046,0.005333333333333334,0.008692269873603532,0.06666666666666668,0.02260776661041756
