image,label,delta_low_mean_50_100,delta_mid_mean_50_100,delta_high_mean_50_100,delta_low_std_50_100,delta_mid_std_50_100,delta_high_std_50_100,delta_low_mean_100_150,delta_mid_mean_100_150,delta_high_mean_100_150,delta_low_std_100_150,delta_mid_std_100_150,delta_high_std_100_150,delta_low_mean_150_200,delta_mid_mean_150_200,delta_high_mean_150_200,delta_low_std_150_200,delta_mid_std_150_200,delta_high_std_150_200,delta_low_mean_200_300,delta_mid_mean_200_300,delta_high_mean_200_300,delta_low_std_200_300,delta_mid_std_200_300,delta_high_std_200_300,delta_low_mean_300_400,delta_mid_mean_300_400,delta_high_mean_300_400,delta_low_std_300_400,delta_mid_std_300_400,delta_high_std_300_400,delta_low_mean_400_500,delta_mid_mean_400_500,delta_high_mean_400_500,delta_low_std_400_500,delta_mid_std_400_500,delta_high_std_400_500,delta_low_mean_500_750,delta_mid_mean_500_750,delta_high_mean_500_750,delta_low_std_500_750,delta_mid_std_500_750,delta_high_std_500_750
members/member_0.png,1,-0.004940815269947097,-0.025050975382328006,-0.071348026394844,-0.0014054398052394997,-0.0040646120905876,-0.005445062182843701,-0.002181934192776701,-0.019903235137462602,-0.03642342984676371,0.0015613189898431995,-0.0012959437444806012,-0.0031740083359181994,-0.0026709195226430997,-0.011451914906501798,-0.02464812621474259,-0.002866751514375299,-0.0021231765858828995,-0.0014384451787918997,-0.005058974027633601,-0.0185417458415032,-0.026179514825344103,-0.00016332045197480025,-0.0014430489391088,-0.002431342145428,-0.006083729676902299,-0.015932163223624198,-0.0118799265474081,-0.0008535343222320002,-0.0030671292915940996,-0.0010176037321799,-0.0041721081361175,-0.0119605287909508,-0.0051496466621757,-0.00011018989607700005,-0.001430771080777,-0.00031538469193030004,-0.0094630549428984,-0.0109431737218983,-0.0029333636921364,-0.0039382086833939,-0.0013552144009735998,-6.720786404911331e-05
members/member_1.png,1,-0.0030958279967307975,-0.0292339324951172,-0.08209421485662462,-0.0020443154498935006,-0.0023681269958616014,-0.0074080745689571,-0.0007500946521758964,-0.0165588259696961,-0.0408548340201378,0.0003389706835150996,-0.001936761662363999,-0.0012489086948334997,-0.0039038695394993037,-0.009700492024421706,-0.022572662681341192,-0.0021514086984098,-0.00014357361942530025,-0.0014519589021802,-0.0015059597790240999,-0.02109642699360839,-0.0272074937820434,0.00024865474551920026,-0.0024644215591251998,-0.002426418242976,-0.007704524323344199,-0.0182436089962721,-0.0140897603705526,-0.0016001607291400996,-0.0021837572567165,-0.0010172490729019002,-0.0086721684783697,-0.014161299914121602,-0.006262829760089499,-0.0025015010032803002,-0.0025669010356068,-0.0005267155938782,-0.0115210074000061,-0.013687466911506,-0.0036117187846685,-0.002746220503468,-0.0019294919875391873,-0.00013138648864693492
members/member_2.png,1,-0.006137663498520896,-0.02786175161600111,-0.040807195007801,-0.0007626498118043015,-0.00036068540066480116,-0.0010766605846584008,-0.0002920962870121002,-0.010317716747522396,-0.015985142439603806,0.0007331715896726002,-0.0033810310997068995,-0.0013081557117402996,-0.0019696783274412016,-0.004575118422508205,-0.011994432657957098,-0.0008542360737919998,0.0009061601012945999,-0.0007683127187191998,-0.0032686144113540996,-0.010650416836142498,-0.017427913844585398,-0.0005598533898591995,-0.0026930682361126,-0.0030094421235845005,-0.004409348592162101,-0.0075056627392769,-0.010024699382484,-0.0010801539756358,7.266458123920006e-05,-0.0009795607766136,-0.0054947398602963,-0.0095418132841587,-0.004958270350471101,-0.0021516219712794,-0.0028004838386551005,-0.0003689891818795,-0.010458810720592699,-0.0108141397940927,-0.0027188856474823,-0.0033266668906435,-0.0011796963226514935,-2.252600097553265e-05
members/member_3.png,1,-0.005677070468664197,-0.018455281853675898,-0.0313730090856552,5.7983212172900075e-05,-0.0014355308376252,-0.0020953891798853996,-0.0005328133702277998,-0.009283734485507001,-0.015256069600582196,0.0009424081072212011,-0.0010357652790844996,-0.0015127304941416004,-0.006395978853106502,-0.004749750718474402,-0.0084964819252491,-0.002729509957134801,-0.00017138570547100065,-0.0012357234954834,-0.0025738589465617995,-0.009000599384307799,-0.009541742503643001,-0.0005493280477820994,-0.0011273552663624998,-0.0009250766015611001,-0.003535178489983099,-0.0052233925089240005,-0.0042838901281357,0.0003256616182624999,-0.0014559442643076,-0.0006032782257534999,-0.0038431826978921994,-0.0049722990952433,-0.0024347172584385,-0.0019265520386398003,-0.0014347157557495,-0.00023795521701690004,-0.0081940375966951,-0.004534386054729099,-0.0014214475013432,-0.0039377696230076,-0.0006860412631794209,-9.814679469845197e-05
members/member_4.png,1,-0.0056502316147089005,-0.023253161460161202,-0.0461622625589371,-0.003507132641971101,0.0003322092816233999,-0.0036326544359326996,-0.0021976474672555993,-0.014930613338947303,-0.0259138979017735,0.0001099021174014005,-0.0018580565229058005,-0.0022367211058734997,-0.0033370498567819006,-0.008060850203037297,-0.016397612169384904,-0.0002826098352670999,-0.0011405465193093005,-0.0019587541464717003,-0.0016216002404689997,-0.0158545635640621,-0.0165898697450757,0.00017143134027720018,-0.0018222406506538994,-0.0013905814266762999,-0.0053638368844986,-0.009783756919205201,-0.007808166556060299,-0.0012780991382897004,-0.0018241670913994002,-0.0006280323432293,-0.0035461895167828005,-0.0051706838421523,-0.0034410585649312002,-0.0015409528277813998,-0.0008934426587074999,-0.0002373149982303793,-0.0094822433311492,-0.0050360166933388,-0.0019770964136113997,-0.0027494718087837005,-0.000987837622233153,-2.9233808163553476e-05
members/member_5.png,1,-0.0028600730001926006,-0.032179553061723695,-0.0474267788231373,-0.0026645674370228993,-0.0007472708821297004,-0.0030562148895114994,-0.0018545854836702,-0.015915688127279302,-0.017269069328904103,0.001609410624951099,-0.002170890569686899,-0.0006841481663286001,-0.0035790484398603994,-0.0126455090939998,-0.0094146523624659,-0.00043344497680659986,-0.001113005913794,-0.0010516544571147,-0.0022097714245318985,-0.0157574880868197,-0.0102999713271856,0.0014993175864218998,-0.0018948558717966002,-0.0011288138339296,-0.007257973775267601,-0.007911608554422899,-0.004284774651751,-0.0037295701913534996,-0.0009852114599197999,-0.0005410685407696,-0.0031850310042501,-0.0049210221040993,-0.0017947183223441,-0.00045102089643479955,-0.0015869901981205,-0.00010621538967829999,-0.010399155667982999,-0.0033695903694025,-0.0009569661633577,-0.0039256749441847,-0.0008412740207858759,-5.406947457221883e-05
members/member_6.png,1,-0.0034104865044356017,-0.0189675725996495,-0.0477480068802834,-0.00030846148729320004,-0.004456541500985601,-0.005926601588726099,-0.004855338484048798,-0.009853363037109403,-0.0238978937268257,-0.0013149115256964996,-0.00023370422422889971,-0.0011507291346788007,-0.0026785917580127994,-0.005408141762018197,-0.013701517134904896,0.0005608582869172001,-0.00016273697838189993,-0.0005047414451837999,-0.0032995603978634,-0.008439823985099702,-0.0183849725872278,-0.0033204676583409006,-0.0003327010199427006,-0.0026647881604730996,-0.0013010594993828999,-0.0104777961969376,-0.010591615922749001,0.00045039784163230026,-0.0010930546559393996,-0.0010950948344543002,-0.0010291971266270013,-0.009046200662851299,-0.0069852974265814,0.0010745022445917,-0.0025144752580672,-0.0007956959307193999,-0.00891566532664,-0.012908274657093,-0.004874942736933,-0.0037548660766333,-0.0023186435937532003,-0.0003968596320191475
members/member_7.png,1,-0.003802951425313901,-0.024739384651184096,-0.08917067199945448,-0.0018117008730769001,-0.0024440642446279005,-0.004135823808610401,-0.003860853612422898,-0.0208172798156738,-0.039934724569320706,0.00043579656630750134,-0.0013076178729535,-0.0028885714709758993,-0.004021141678094899,-0.011776354163885096,-0.026034861803054796,-0.001137721352279201,-0.0012872861698269003,-0.0020340541377663005,-0.004439078271389001,-0.020296748727560106,-0.0281102545559406,-0.0013227923773229,-0.0012882212176919,-0.0018255361355841997,-0.0037086512893439,-0.011144081130623797,-0.0132812093943358,-0.0013297512196004,9.091850370160012e-05,-0.0014194916584529,-0.005694772116839801,-0.0093588624149561,-0.006724396720528601,0.0005682529881596001,-0.002287971554324,-0.0006466616177931,-0.010169147630222199,-0.013893852767068901,-0.0041056378977373,-0.0049146445817314,-0.0027584171039051705,-0.00016601376773901254
members/member_8.png,1,-0.0023090746253728,-0.023176915943622603,-0.0238309912383556,0.0025200345553457997,-0.00036269845440990017,0.00016366550698869962,-0.003945428878069,-0.010399982333183302,-0.0107306875288486,-0.0023021767847239997,-0.0016339374706148997,-0.0023737712763249,-0.0037994422018527985,-0.006173029541969299,-0.0044523579999805,-3.806594759220034e-05,-0.0010104291141033008,-0.0007842425256968,-0.0043361391872167,-0.0089310463517904,-0.007227679714560501,-0.0010897149331867998,-0.00041793892160059973,-0.0011852734023705,-0.0011884775012732003,-0.007328918203711499,-0.0031797077972442,0.0011268127709627004,-0.0018579618772492,-0.0005905723082833001,-0.004718808457255301,-0.005959352478385,-0.0014637876884079997,-0.0022922144271433006,-0.0009956180583685,-0.00018186453235099006,-0.0081836511380971,-0.0044570866157301,-0.0007908239131211159,-0.0039243921637535,-0.0006734552334819267,-3.4874523407779634e-05
members/member_9.png,1,-0.0070483703166247,-0.020276430994272295,-0.0494812354445458,-0.0006215237081051003,-0.0023957905359566004,-0.0029491409659385993,-0.0023630894720554005,-0.010856151580810498,-0.027982961386442108,-0.0007050014100968994,0.0004132599569857008,-0.0026942156255245005,-0.000733636319637302,-0.00761379301548,-0.018291849642992096,0.00034536654129619943,-0.0002657342702151004,-0.0005967216566204999,-0.0031543727964163,-0.0110353436321021,-0.0168136209249496,-0.0013584438711403994,-0.0020730886608362,-0.0015116007998586,-0.004514914937317399,-0.009495195001363702,-0.0083027957007289,-0.0006157788448036003,-0.0010080097708851004,-0.0006282854010351,-0.0017840871587394991,-0.006986228749155998,-0.0041365830693394,-0.00014250585809350014,-0.00014681112952529994,-0.00046693331387360007,-0.0082517268601805,-0.009324164537247302,-0.002629279071698,-0.0034670857712626995,-0.0033790862726163456,-9.345588478019986e-05
